Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"1,399",4.3,"1,343 "
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,299",4.5,"4,528 "
https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2,"21,705 "
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,"1,397 "
https://www.amazon.in/Wesley-Liter-Casual-Daypack-Backpack/dp/B0BVVY98PZ,Wesley 15 Liter Casual Daypack Backpack,149,3.8,360 
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,999,4.2,921 
https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,344 
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",799,4.1,"6,663 "
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM,ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,3.9,351 
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,"2,246",4.4,"7,710 "
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,353 
https://www.amazon.in/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W,GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,"1,299",3.8,"1,505 "
https://www.amazon.in/Lavie-Odiase-Womens-Satchel-Handbag/dp/B08SW9RJ75,Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag,"1,249",4.1,"2,400 "
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,"1,044 "
https://www.amazon.in/Storite-Pack-Big-Underbed-Moisture/dp/B07B8K3RQK,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",699,4.4,"18,118 "
https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 LTR Hedge Polyester - Black- Medium,"1,329",3.8,"1,336 "
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,849,4.0,"13,849 "
https://www.amazon.in/ANTILS%C2%AE-Water-Rubber-Relief-Therapy/dp/B08PFTYB2N,ANTIL'S® Hot Water Rubber Bottle bag for Pain Relief Therapy (Pack of 1) Multicolor,198,4.0,"4,517 "
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,496,4.0,"1,116 "
https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Black/dp/B016DCB9OO,Shalimar Premium OXO - Biodegradable Garbage Bags 19 X 21 Inches (Medium) 180 Bags (6 Rolls) Dustbin Bag/Trash Bag - Black Color,406,4.5,"15,485 "
